,3 & D Wing,Combo Guard,Defensive Forward,Offensive Big Man,Pace & Space Forward,Post-Heavy Big Man,Primary Distributing Ballhandler,Slashing Guard,Team,3PAr,FTr,Pace,principal component 1,principal component 2,Cluster,Year,W,Playoffs
0,1,1,2,2,0,2,1,0,Atlanta Hawks/2016,0.336,0.237,97.1,0.7806879214928399,-0.17120214950097185,5,2016,48.0,1
1,0,0,2,1,1,1,3,1,Atlanta Hawks/2017,0.309,0.295,97.4,-0.131095266403831,-1.3542901496908408,2,2017,43.0,1
2,0,2,3,0,1,2,1,0,Atlanta Hawks/2018,0.363,0.236,98.3,0.12728505590157396,-0.052563624964596316,5,2018,24.0,0
3,1,1,1,2,2,0,2,0,Boston Celtics/2016,0.293,0.264,98.5,0.14761951957846686,1.481072228251617,3,2016,48.0,1
4,2,0,2,1,1,0,3,0,Boston Celtics/2017,0.393,0.273,96.8,-0.6478411676891128,1.317815872901264,3,2017,53.0,1
5,2,0,1,2,2,0,2,0,Boston Celtics/2018,0.35700000000000004,0.243,96.0,-0.5363236065665367,1.9339557296431857,3,2018,55.0,1
6,0,1,1,1,0,3,2,1,Brooklyn Nets/2016,0.218,0.246,95.2,0.3510651425656827,-2.522465911003293,2,2016,21.0,0
10,0,0,1,1,2,1,4,0,Brooklyn Nets/2017,0.371,0.289,101.3,1.242274470521733,0.794770582264465,1,2017,20.0,0
14,1,2,0,2,1,2,1,0,Brooklyn Nets/2018,0.411,0.26,98.9,2.716069995115227,0.9812071904371057,1,2018,28.0,0
18,0,0,0,0,0,0,0,0,Charlotte Hornets/2016,0.348,0.28,95.7,0.44324781488293025,-0.10562918181761712,5,2016,48.0,1
22,0,0,0,0,0,0,0,0,Charlotte Hornets/2017,0.335,0.279,95.7,0.3548801104555363,-0.13692569512071823,5,2017,36.0,0
26,0,0,0,0,0,0,0,0,Charlotte Hornets/2018,0.314,0.312,98.4,0.9534037701123106,-0.050358735141199776,5,2018,36.0,0
30,4,1,2,1,1,0,0,0,Chicago Bulls/2016,0.244,0.24,95.7,-2.1853532001978118,2.3392456365744696,0,2016,42.0,0
31,0,2,0,1,3,1,2,0,Chicago Bulls/2017,0.256,0.259,95.3,0.29023385405387864,0.6734810602594687,3,2017,41.0,1
32,2,0,1,0,0,2,4,0,Chicago Bulls/2018,0.35,0.21600000000000005,98.3,-0.2217841868076371,0.7235323238549713,3,2018,27.0,0
33,0,2,1,2,2,1,1,0,Cleveland Cavaliers/2016,0.35200000000000004,0.259,93.3,0.7637414055930665,0.10598435517760643,5,2016,57.0,1
34,0,1,0,4,1,1,1,1,Cleveland Cavaliers/2017,0.399,0.275,96.2,2.5366459626028375,-0.6762774174650279,1,2017,51.0,1
35,0,1,2,3,0,1,1,1,Cleveland Cavaliers/2018,0.379,0.275,98.0,1.4841477223092352,-1.1903102478306122,1,2018,50.0,1
36,0,2,1,1,1,1,2,1,Dallas Mavericks/2016,0.339,0.265,94.3,0.2887850689752451,-1.101236352483794,2,2016,42.0,1
37,0,0,3,2,0,1,2,1,Dallas Mavericks/2017,0.366,0.225,92.2,-1.0851558073793648,-1.9831613485336352,2,2017,33.0,0
38,0,1,1,0,2,1,3,1,Dallas Mavericks/2018,0.382,0.217,95.6,-0.6753331803301059,-0.10991714433001029,5,2018,24.0,0
39,1,1,2,2,0,0,2,0,Denver Nuggets/2016,0.277,0.282,95.7,-0.24621427688627934,-0.13462736666533104,5,2016,33.0,0
40,1,1,3,1,0,0,3,0,Denver Nuggets/2017,0.329,0.276,98.3,-0.5905236781531521,0.2650671438816431,5,2017,40.0,0
41,2,0,3,1,0,0,3,0,Denver Nuggets/2018,0.35700000000000004,0.258,96.8,-1.3217086550841908,0.7350148709420825,0,2018,46.0,0
42,0,2,1,4,0,2,0,0,Detroit Pistons/2016,0.303,0.29600000000000004,95.1,2.8056054083900146,-1.3195372363136295,1,2016,44.0,1
43,0,2,2,3,0,1,1,0,Detroit Pistons/2017,0.263,0.218,95.0,0.3028258349924859,-0.6467290635081897,5,2017,37.0,0
44,0,0,1,3,1,1,1,2,Detroit Pistons/2018,0.333,0.227,96.2,0.20306532994796325,-1.5469318926167652,2,2018,39.0,0
45,1,0,2,3,3,0,0,0,Golden State Warriors/2016,0.362,0.25,99.3,0.1608178312239248,2.174168965683564,3,2016,73.0,1
46,2,0,3,1,3,0,0,0,Golden State Warriors/2017,0.359,0.259,99.8,-1.2509162200294506,2.6294139538004737,0,2017,67.0,1
47,3,0,2,1,3,0,0,0,Golden State Warriors/2018,0.339,0.239,99.6,-1.4153294133405017,3.4108350902750932,0,2018,58.0,1
48,1,1,1,2,1,0,2,1,Houston Rockets/2016,0.37,0.35200000000000004,97.6,1.3156629498980896,-0.3245856175353672,1,2016,41.0,1
49,1,1,1,3,0,1,1,1,Houston Rockets/2017,0.462,0.304,100.0,2.7645768878273325,-0.14584382732461407,1,2017,55.0,1
50,1,0,0,4,0,2,1,1,Houston Rockets/2018,0.502,0.298,97.6,3.7272141141135227,-0.7010859591946299,1,2018,65.0,1
51,1,3,2,1,2,0,0,0,Indiana Pacers/2016,0.27,0.268,96.6,-0.5089884662122448,1.2629942496138853,3,2016,45.0,1
52,1,1,1,2,2,1,1,0,Indiana Pacers/2017,0.272,0.261,95.9,0.15891680857258764,0.7062855391074031,3,2017,42.0,1
53,2,1,3,0,1,0,2,0,Indiana Pacers/2018,0.284,0.222,96.0,-2.556009871765012,1.272225028306303,0,2018,48.0,1
54,0,0,2,4,1,1,0,1,Los Angeles Clippers/2016,0.324,0.318,95.8,1.3924431499398375,-1.633454911416094,2,2016,53.0,1
55,0,1,3,2,0,1,1,1,Los Angeles Clippers/2017,0.329,0.312,96.1,0.4555505268355323,-2.027828039853389,2,2017,51.0,1
56,0,1,2,0,3,0,2,1,Los Angeles Clippers/2018,0.314,0.299,98.7,-0.81834924726106,0.2614377634137946,5,2018,42.0,0
57,1,2,2,2,0,1,1,0,Los Angeles Lakers/2016,0.29,0.292,95.6,0.6735673996297196,-0.44423410982780964,5,2016,17.0,0
58,1,4,1,2,1,0,0,0,Los Angeles Lakers/2017,0.295,0.259,98.5,1.0811159723948187,1.4762475889198463,3,2017,26.0,0
59,2,0,0,2,3,0,2,0,Los Angeles Lakers/2018,0.329,0.264,100.3,0.3998481462029246,2.9129810139994134,3,2018,35.0,0
60,1,1,1,1,1,1,3,0,Memphis Grizzlies/2016,0.222,0.295,93.3,-0.46424553761472814,-0.5935297979803956,5,2016,42.0,1
61,1,1,2,1,2,0,2,0,Memphis Grizzlies/2017,0.316,0.28,92.3,-1.253634059492808,0.3868242103944682,0,2017,43.0,1
62,1,2,2,0,2,0,2,0,Memphis Grizzlies/2018,0.317,0.255,94.9,-1.3514967076846327,1.077372656805844,0,2018,22.0,0
63,0,0,2,2,1,0,2,2,Miami Heat/2016,0.221,0.282,93.6,-1.6108124224811275,-2.45531378265823,4,2016,48.0,1
64,1,0,2,2,3,0,0,1,Miami Heat/2017,0.314,0.251,95.2,-1.3811722227322434,0.6349881497073502,0,2017,41.0,0
65,2,1,2,1,2,0,1,0,Miami Heat/2018,0.358,0.229,95.6,-1.3310543296718929,1.9977178161097617,0,2018,44.0,1
66,1,0,4,0,1,1,1,1,Milwaukee Bucks/2016,0.189,0.276,94.2,-2.991072540968449,-1.6571646126091304,4,2016,33.0,0
67,1,0,1,3,1,1,1,1,Milwaukee Bucks/2017,0.29,0.274,94.5,0.26850667538331624,-0.903385695880417,5,2017,42.0,1
68,1,1,1,2,1,0,3,0,Milwaukee Bucks/2018,0.297,0.281,96.2,0.16655921554598724,0.5422214341660766,5,2018,44.0,1
69,1,2,3,0,0,2,1,0,Minnesota Timberwolves/2016,0.202,0.332,95.2,-0.2942885191368787,-1.577441772716091,2,2016,29.0,0
70,0,2,2,1,1,2,1,0,Minnesota Timberwolves/2017,0.249,0.287,94.6,0.3882228315896178,-1.188825777800363,2,2017,31.0,0
71,0,2,0,2,3,1,1,0,Minnesota Timberwolves/2018,0.261,0.28,96.0,1.1095920076444536,0.6616735669852807,1,2018,47.0,1
72,1,2,1,0,2,1,2,0,New Orleans Pelicans/2016,0.277,0.259,96.8,-0.35814415170766145,0.9580778862244327,3,2016,30.0,0
73,0,3,1,2,1,1,1,0,New Orleans Pelicans/2017,0.308,0.256,98.0,1.504925929328441,0.34890785320530976,1,2017,34.0,0
74,0,1,2,1,1,1,1,2,New Orleans Pelicans/2018,0.319,0.237,100.5,-0.2529095316976588,-1.045027546726678,2,2018,48.0,1
75,1,1,3,1,1,0,0,2,New York Knicks/2016,0.256,0.255,93.4,-2.531905340745871,-1.5457209336671043,4,2016,32.0,0
76,0,1,2,1,2,0,1,2,New York Knicks/2017,0.279,0.239,96.0,-1.7112036460409819,-1.003946246914282,4,2017,31.0,0
77,1,1,1,1,1,2,0,2,New York Knicks/2018,0.266,0.21600000000000005,96.8,-0.5766096760856847,-1.2215756981576043,2,2018,29.0,0
78,3,2,0,2,0,1,1,0,Oklahoma City Thunder/2016,0.275,0.292,96.7,1.1325002786490779,1.1134649311800913,3,2016,55.0,1
79,0,2,1,2,1,1,2,0,Oklahoma City Thunder/2017,0.295,0.295,97.8,1.540971811065825,-0.15767308409151762,1,2017,47.0,1
80,0,1,1,2,1,1,3,0,Oklahoma City Thunder/2018,0.345,0.275,96.7,1.186404821028443,-0.16553645956639734,1,2018,48.0,1
81,2,0,3,0,2,0,1,1,Orlando Magic/2016,0.255,0.232,96.0,-3.273798013753884,0.6924996261064861,0,2016,35.0,0
82,0,2,2,2,2,0,1,0,Orlando Magic/2017,0.3,0.246,96.8,-0.15020936129333204,0.8123075107354798,3,2017,29.0,0
83,1,0,4,0,0,0,3,1,Orlando Magic/2018,0.342,0.238,98.1,-2.371099389310587,-0.47426770354397013,4,2018,25.0,0
84,1,2,0,1,1,2,1,0,Philadelphia 76ers/2016,0.327,0.269,97.9,1.7718336104358516,0.5396807528392575,1,2016,10.0,0
85,0,1,2,0,0,2,2,2,Philadelphia 76ers/2017,0.349,0.258,98.5,0.05764244307385887,-2.2724966570128617,2,2017,28.0,0
86,2,0,3,1,1,1,1,0,Philadelphia 76ers/2018,0.344,0.263,99.8,-0.5410596066032258,1.2324502076187254,3,2018,52.0,1
87,0,2,2,1,1,0,2,1,Phoenix Suns/2016,0.302,0.271,98.5,-0.23404548937222097,-0.38986620933922267,5,2016,23.0,0
91,0,2,3,0,1,1,2,0,Phoenix Suns/2017,0.255,0.297,100.3,-0.09908075040298468,-0.18657196427140538,5,2017,24.0,0
95,0,2,0,2,1,1,3,0,Phoenix Suns/2018,0.32,0.275,100.3,2.221176461184647,0.5377907128211274,1,2018,21.0,0
99,0,0,2,2,0,1,3,1,Portland Trail Blazers/2016,0.332,0.268,96.0,0.10697424234465593,-1.7456893408775165,2,2016,44.0,1
100,0,1,1,1,3,0,3,0,Portland Trail Blazers/2017,0.322,0.275,96.7,-0.17202564064806464,1.0599497626391663,3,2017,41.0,1
101,0,0,4,0,1,0,3,1,Portland Trail Blazers/2018,0.324,0.24,96.5,-2.576261634085188,-0.9106853175857201,4,2018,49.0,1
102,0,2,2,2,1,1,1,0,Sacramento Kings/2016,0.26,0.295,100.0,1.214293591930966,-0.041678437448235586,1,2016,33.0,0
103,1,2,1,3,1,0,1,0,Sacramento Kings/2017,0.29100000000000004,0.284,94.9,0.7407643921935129,0.4841633718119734,5,2017,32.0,0
104,1,2,2,1,2,0,1,0,Sacramento Kings/2018,0.278,0.194,94.9,-1.7846441216161686,1.446994638468516,0,2018,27.0,0
105,2,1,1,1,2,1,1,0,San Antonio Spurs/2016,0.223,0.246,93.8,-1.2587894019964516,0.9531492197213661,0,2016,67.0,1
106,0,2,1,1,2,1,1,1,San Antonio Spurs/2017,0.281,0.263,94.2,-0.2104283981535873,-0.7891257976690287,5,2017,61.0,1
107,2,1,1,1,1,0,3,0,San Antonio Spurs/2018,0.282,0.245,95.0,-1.157201258864125,1.180601276436236,0,2018,47.0,1
108,0,0,1,2,2,0,2,2,Toronto Raptors/2016,0.287,0.328,92.9,-0.5134734818316068,-2.1186643111996153,2,2016,56.0,1
109,0,3,2,2,2,0,0,0,Toronto Raptors/2017,0.289,0.293,94.7,0.30170020291167954,0.2632929991386025,5,2017,51.0,1
110,0,2,0,2,4,0,1,0,Toronto Raptors/2018,0.377,0.25,97.4,1.0237515449281396,2.2762883202797712,3,2018,59.0,1
111,0,1,2,1,2,0,2,1,Utah Jazz/2016,0.297,0.28600000000000003,91.0,-1.5122753419501374,-1.2808992403335353,4,2016,40.0,0
112,0,1,3,0,1,0,2,2,Utah Jazz/2017,0.327,0.28800000000000003,91.6,-2.2424682408556285,-2.4915910970835298,4,2017,51.0,1
113,0,1,3,0,2,0,1,2,Utah Jazz/2018,0.35700000000000004,0.26,95.7,-1.937188347148403,-1.1039648291508195,4,2018,48.0,1
114,1,1,3,2,0,1,1,0,Washington Wizards/2016,0.282,0.263,98.5,-0.00112754728544582,-0.07249005270144436,5,2016,41.0,0
115,0,3,1,0,2,1,2,0,Washington Wizards/2017,0.284,0.254,97.4,0.20915026233915968,0.6329579301418996,3,2017,49.0,1
116,1,0,1,1,1,1,3,1,Washington Wizards/2018,0.31,0.254,96.6,-0.48060906543186277,-0.4407334605508687,5,2018,43.0,1
0,0,1,2,0,0,1,5,0,Atlanta Hawks/2019,0.403,0.255,103.9,1.0536505959179059,0.5725331218152333,1,2019,29.0,0
1,2,0,3,0,1,0,3,0,Boston Celtics/2019,0.381,0.215,99.6,-1.8568024725861565,1.9981818330729249,0,2019,49.0,1
2,0,2,1,2,1,1,2,0,Brooklyn Nets/2019,0.403,0.284,100.8,2.4672735492645246,0.688453424441189,1,2019,42.0,1
6,0,0,0,0,0,0,0,0,Charlotte Hornets/2019,0.378,0.257,98.7,0.7737584183776176,0.5977698385313899,5,2019,39.0,0
10,2,0,1,0,2,1,3,0,Chicago Bulls/2019,0.295,0.235,99.0,-1.0031154230133834,1.8417829314879828,0,2019,22.0,0
11,3,0,3,0,0,0,3,0,Cleveland Cavaliers/2019,0.332,0.236,96.6,-2.417598209216078,1.3854745780349529,0,2019,19.0,0
12,0,0,1,1,2,1,4,0,Dallas Mavericks/2019,0.422,0.29100000000000004,99.0,1.2587924702251418,0.5937730618878491,1,2019,33.0,0
13,2,0,1,1,2,0,3,0,Denver Nuggets/2019,0.348,0.232,97.7,-0.9476251854476984,2.2116579977567543,0,2019,54.0,1
14,1,1,1,1,3,1,1,0,Detroit Pistons/2019,0.394,0.262,97.4,0.5138057791681592,1.7404395753990074,3,2019,41.0,1
15,2,0,3,1,1,0,2,0,Golden State Warriors/2019,0.384,0.227,100.9,-1.0670912661554321,2.136211908867111,0,2019,57.0,1
16,1,1,0,4,1,1,1,0,Houston Rockets/2019,0.519,0.279,97.9,3.55998298727637,1.2766660492061939,1,2019,53.0,1
17,1,1,1,2,2,1,1,0,Indiana Pacers/2019,0.292,0.242,98.1,0.36605880554660886,1.2321598138389944,3,2019,48.0,1
18,2,0,2,0,1,0,4,0,Los Angeles Clippers/2019,0.295,0.326,101.7,-0.459615059097301,1.3198631245382364,3,2019,48.0,1
19,0,0,2,2,2,1,1,1,Los Angeles Lakers/2019,0.342,0.257,103.2,0.7771803586812186,0.39537549591922605,5,2019,37.0,0
20,3,1,1,0,2,0,2,0,Memphis Grizzlies/2019,0.342,0.272,96.6,-1.0876548335615979,2.466484870082365,0,2019,33.0,0
21,1,0,3,0,2,0,2,1,Miami Heat/2019,0.368,0.247,98.2,-1.9273665690695805,0.6233687271330014,0,2019,39.0,0
22,1,0,3,1,1,0,3,0,Milwaukee Bucks/2019,0.419,0.255,103.3,-0.016299244863707193,1.7660486228420649,3,2019,60.0,1
23,0,2,0,2,1,2,2,0,Minnesota Timberwolves/2019,0.315,0.267,100.2,2.6091423562948006,0.21593298290992566,1,2019,36.0,0
24,1,1,3,1,1,1,1,0,New Orleans Pelicans/2019,0.324,0.254,103.3,0.21145935955149606,1.2832153745582928,3,2019,33.0,0
25,0,0,1,2,2,0,3,1,New York Knicks/2019,0.334,0.27,99.6,0.28301650601222256,0.19983967587397214,5,2019,17.0,0
26,0,0,0,2,1,1,4,1,Oklahoma City Thunder/2019,0.34700000000000003,0.266,102.8,1.797778495414973,0.005055691159622285,1,2019,49.0,1
27,0,2,1,1,2,0,3,0,Orlando Magic/2019,0.36,0.21600000000000005,98.1,0.0019403244489131068,1.4828593948994775,3,2019,42.0,1
28,1,2,2,0,2,1,1,0,Philadelphia 76ers/2019,0.342,0.312,101.6,0.8396357308302257,1.356948529205864,3,2019,51.0,1
29,0,1,0,1,4,0,2,1,Phoenix Suns/2019,0.335,0.259,100.5,0.28673564880339386,1.6081807396170844,3,2019,19.0,0
33,1,1,1,1,2,0,3,0,Portland Trail Blazers/2019,0.339,0.258,99.1,-0.029257306873844424,1.7236516122701653,3,2019,53.0,1
34,2,0,2,0,0,1,4,0,Sacramento Kings/2019,0.321,0.244,103.1,-0.37583949789796856,1.3818235653713427,3,2019,39.0,0
35,1,1,3,0,2,0,2,0,San Antonio Spurs/2019,0.28600000000000003,0.237,98.3,-1.9757532266194473,1.37139209696948,0,2019,48.0,1
36,0,1,1,1,2,1,3,0,Toronto Raptors/2019,0.379,0.247,100.2,0.9689245221245728,1.1177868415325234,3,2019,58.0,1
37,0,1,1,2,2,1,1,1,Utah Jazz/2019,0.394,0.295,100.3,1.812346744865952,0.08739443010914856,1,2019,50.0,1
38,1,1,2,0,3,1,1,0,Washington Wizards/2019,0.37,0.266,101.4,0.07236255325699503,2.0959127163749507,3,2019,32.0,0
